N,P,K,temperature,humidity,ph,rainfall,label
82.43,48.57,38.77,28.09,81.81,6.43,252.88,rice
46.97,35.12,36.29,24.11,41.86,6.68,49.43,millets
100.16,51.11,59.12,24.7,79.19,6.81,258.66,sugarcane
30.85,52.44,40.2,23.52,61.83,7.11,97.52,groundnut
92.33,53.72,46.82,23.24,77.75,6.52,223.7,sugarcane
48.52,43.83,43.79,29.61,53.59,7.29,22.41,millets
79.04,41.1,44.72,25.82,86.63,6.36,270.14,rice
43.91,60.18,34.54,29.17,62.75,6.31,59.72,pulses
56.15,57.67,49.21,33.28,52.45,7.5,83.35,cotton
48.69,46.0,34.62,20.54,58.76,7.31,89.38,pulses
61.85,47.87,91.81,29.38,83.09,7.2,278.45,coconut
35.01,50.02,43.21,30.91,62.89,7.57,100.86,groundnut
76.39,42.02,35.82,24.41,71.51,6.91,127.78,maize
71.17,52.01,63.39,30.72,58.44,7.71,57.26,cotton
50.27,38.94,36.53,28.81,67.19,7.32,72.96,pulses
89.56,43.17,69.04,31.48,79.74,6.96,174.62,banana
70.19,48.09,44.89,31.65,82.67,6.0,126.31,rice
53.66,62.21,57.78,20.27,71.7,5.64,182.87,coffee
57.37,41.16,62.91,31.59,62.79,6.98,120.05,cotton
45.35,37.54,44.88,35.12,51.2,7.36,53.87,millets
41.47,28.61,45.16,33.57,51.69,7.83,79.12,millets
67.33,55.5,47.11,28.95,75.45,7.07,286.65,rice
58.43,32.5,35.46,25.51,60.03,7.6,34.89,millets
87.68,41.47,51.33,25.15,84.54,7.23,151.72,sugarcane
74.05,48.25,65.09,30.34,57.54,7.17,92.34,cotton
105.89,60.03,52.15,32.89,67.58,6.04,130.66,banana
66.62,40.74,40.94,20.29,81.26,6.06,222.4,rice
45.35,50.95,36.85,33.43,49.87,7.86,31.05,pulses
82.86,38.4,33.0,26.81,96.19,6.23,298.6,rice
82.72,48.93,33.76,27.0,79.01,6.62,194.15,rice
81.9,41.7,43.1,30.43,47.65,6.9,76.58,cotton
66.11,48.79,49.92,35.63,51.6,7.29,80.02,cotton
46.23,37.37,49.85,29.94,52.18,6.44,101.99,groundnut
45.33,54.24,55.72,30.57,45.43,6.7,76.21,cotton
51.65,33.34,50.24,29.66,38.33,6.66,69.95,millets
62.88,43.41,42.28,26.4,70.99,6.25,120.68,maize
91.33,44.66,44.07,24.4,87.57,5.99,301.53,rice
73.55,45.68,35.86,26.66,67.88,6.45,94.4,maize
36.42,61.53,43.65,30.54,75.45,7.15,93.41,groundnut
32.06,38.3,34.43,27.93,49.09,6.31,69.08,groundnut
39.6,60.18,42.83,25.85,49.07,7.26,39.91,groundnut
29.15,44.31,42.79,26.4,59.65,6.33,99.4,groundnut
83.73,51.55,48.92,20.99,89.42,6.5,213.38,rice
73.8,52.01,37.73,23.96,61.51,6.95,94.96,maize
80.08,56.5,46.65,20.78,72.75,7.26,195.71,sugarcane
66.67,44.66,35.95,26.94,57.49,6.69,71.85,maize
58.69,45.91,29.68,31.4,70.03,7.35,119.99,groundnut
39.01,58.1,35.69,28.07,54.43,6.91,50.74,groundnut
62.42,52.88,88.6,32.85,86.01,6.01,233.82,coconut
73.2,51.83,33.19,31.59,58.51,6.66,76.99,maize
72.23,50.3,35.41,32.05,88.41,6.02,377.35,rice
61.01,36.61,39.46,32.29,44.18,7.36,60.4,millets
81.18,46.74,34.4,21.61,83.93,6.18,170.14,rice
76.9,43.95,32.06,31.01,83.25,5.98,183.44,rice
61.41,37.37,58.43,23.77,60.4,6.66,94.06,cotton
40.34,64.01,79.29,26.25,76.06,5.35,150.83,coffee
41.78,32.61,40.54,26.28,49.32,7.62,53.7,millets
76.52,43.47,38.17,32.23,80.87,6.58,177.12,rice
26.15,43.27,36.94,31.42,66.57,7.74,113.37,groundnut
80.16,37.25,42.27,22.7,74.71,6.85,109.47,maize
51.47,55.73,39.64,24.22,72.5,7.07,48.22,groundnut
81.14,48.29,45.26,20.72,82.77,6.27,243.1,rice
91.51,52.35,55.95,29.51,79.53,6.28,152.18,sugarcane
107.41,55.18,49.6,27.74,73.22,6.07,279.24,banana
63.07,40.58,37.0,22.48,50.33,6.56,34.39,millets
68.13,49.91,36.88,25.54,78.12,6.75,81.41,maize
85.07,50.21,41.94,23.76,80.79,6.74,275.63,rice
60.55,44.65,44.23,32.96,41.61,7.51,44.92,millets
77.61,46.78,37.54,28.42,94.57,7.07,304.35,rice
60.24,54.23,56.58,35.33,68.06,7.41,133.11,cotton
40.31,35.44,46.73,18.35,61.35,6.45,64.25,pulses
29.47,31.61,51.29,36.32,41.75,6.93,61.6,millets
46.82,49.6,33.79,22.02,46.93,6.7,74.64,pulses
72.96,55.73,41.92,26.05,78.34,6.21,151.51,rice
52.22,50.01,30.06,18.02,44.87,7.2,103.77,pulses
99.92,54.02,64.42,20.99,78.43,6.69,276.36,sugarcane
105.75,61.86,45.06,34.36,76.24,7.55,121.82,sugarcane
90.81,57.31,44.58,24.92,71.98,6.49,211.76,sugarcane
64.46,34.68,31.93,25.44,43.0,6.35,80.28,millets
42.68,59.21,37.38,30.43,59.75,6.55,68.46,groundnut
38.85,51.13,31.36,29.0,63.53,7.01,100.2,pulses
50.92,26.16,43.76,22.72,40.71,6.31,61.25,millets
39.98,52.34,46.49,30.23,61.37,7.36,70.64,groundnut
46.82,47.36,62.28,28.88,69.05,6.92,116.0,cotton
54.07,38.7,42.9,19.89,55.61,6.05,81.98,millets
84.58,55.38,37.82,20.81,56.73,7.18,140.93,maize
56.52,53.98,68.38,32.71,81.4,6.9,137.52,coconut
45.72,33.44,50.63,35.51,65.41,7.13,57.22,millets
56.23,52.68,48.07,31.36,48.04,7.35,73.95,cotton
65.32,53.47,41.97,30.62,61.38,7.1,82.15,maize
72.49,37.53,42.39,21.72,70.0,6.98,90.36,maize
83.22,41.69,44.27,26.93,83.27,6.98,376.12,rice
30.09,56.14,35.72,31.67,57.09,6.6,57.99,pulses
46.06,50.47,28.71,29.63,55.47,7.42,102.61,pulses
74.33,45.8,41.46,19.47,96.02,6.55,221.77,rice
28.67,42.63,40.66,26.45,58.0,7.46,56.62,groundnut
54.1,26.36,37.73,23.24,53.85,6.32,46.22,millets
34.0,56.43,27.03,26.71,41.93,6.51,99.87,pulses
45.75,40.18,34.52,24.25,65.51,7.58,48.99,pulses
82.7,44.51,34.27,31.68,85.75,7.02,297.92,rice
33.31,38.95,35.83,32.99,33.92,7.27,34.92,millets
85.35,45.4,38.62,24.56,79.58,5.94,292.21,rice
91.58,44.24,48.87,26.66,71.48,6.82,144.41,sugarcane
72.53,50.97,50.09,31.57,92.25,6.24,300.31,rice
97.92,47.07,38.21,29.27,89.18,6.34,308.24,rice
36.33,49.25,40.77,25.4,60.27,7.7,100.4,pulses
64.25,36.79,49.59,26.6,53.24,7.36,38.96,millets
23.05,56.65,39.35,23.06,50.98,7.84,53.92,pulses
64.02,43.85,45.61,24.57,55.2,7.64,113.98,cotton
78.61,44.48,36.99,19.54,78.36,7.19,90.47,maize
34.5,50.7,38.99,26.76,48.3,6.59,96.64,pulses
70.06,41.98,48.95,28.08,76.84,6.45,181.07,rice
38.11,41.16,29.11,28.46,56.93,7.32,34.89,groundnut
37.85,47.48,37.63,20.25,67.13,6.47,74.39,pulses
59.55,28.14,47.35,21.51,61.4,7.16,83.45,millets
49.34,45.81,44.57,34.3,41.73,7.94,36.32,millets
56.45,58.43,37.9,23.19,58.56,7.29,56.23,groundnut
76.7,44.95,53.39,30.35,79.03,7.13,83.71,maize
53.58,52.72,35.51,25.78,53.1,6.76,92.15,groundnut
61.27,39.34,55.43,23.34,59.78,6.84,81.85,cotton
62.94,47.76,34.87,30.95,65.88,6.28,74.54,maize
49.74,54.2,55.55,36.72,45.87,7.16,82.71,cotton
82.39,41.26,31.6,32.09,50.55,7.06,39.96,maize
91.92,41.35,32.36,20.48,88.57,7.13,324.46,rice
64.59,37.41,89.24,26.81,74.27,7.1,282.0,coconut
56.1,39.5,46.08,35.93,59.87,7.41,45.56,millets
60.13,38.05,41.47,30.89,41.94,7.23,47.97,pulses
61.65,48.76,58.27,27.75,47.72,6.37,80.16,cotton
53.95,32.37,37.99,18.58,61.71,6.21,69.41,pulses
83.34,42.77,42.86,30.82,77.15,6.83,123.25,rice
28.25,38.47,36.86,25.51,68.12,7.17,111.18,groundnut
44.05,52.18,72.9,25.43,68.9,6.21,168.76,coffee
65.32,42.05,48.24,24.99,60.45,6.17,102.38,maize
46.45,43.79,40.4,21.11,41.46,6.74,75.13,pulses
55.6,61.07,45.05,30.67,63.87,6.84,42.57,groundnut
36.24,57.78,31.07,26.31,65.56,7.6,44.91,pulses
46.31,43.31,33.93,23.46,60.49,6.38,76.52,groundnut
63.62,53.18,24.33,22.17,57.1,7.4,76.14,maize
79.87,45.27,53.85,33.27,81.4,6.21,145.56,sugarcane
103.18,49.77,59.68,24.75,68.75,6.19,254.92,banana
28.02,44.15,31.24,28.77,64.32,6.48,100.71,groundnut
88.9,43.44,43.63,26.24,84.45,7.11,219.57,rice
83.4,35.55,43.18,32.08,84.54,7.08,354.61,rice
95.39,51.13,64.8,30.48,85.11,6.52,222.89,sugarcane
44.87,45.23,30.96,21.26,70.91,6.63,65.55,pulses
56.98,35.46,57.03,28.08,62.63,7.68,53.83,cotton
88.12,43.08,41.88,29.87,79.56,6.97,210.82,rice
50.45,55.73,31.0,23.12,66.03,7.24,97.05,groundnut
65.38,51.92,41.54,22.16,54.14,6.44,56.98,maize
92.49,44.88,53.46,22.53,68.37,7.26,155.56,sugarcane
77.9,51.02,65.01,29.44,68.85,7.13,215.66,sugarcane
76.21,52.32,30.83,31.14,53.03,6.68,83.44,maize
45.8,33.19,33.79,28.8,48.31,6.8,35.88,millets
60.31,42.4,60.31,30.02,71.44,7.3,148.37,cotton
46.34,60.04,42.46,28.13,69.02,7.38,108.5,groundnut
73.98,56.78,69.11,33.83,54.73,6.87,57.84,cotton
59.27,57.03,56.77,28.58,68.44,6.73,167.57,cotton
74.4,42.08,44.09,21.62,89.5,6.68,364.13,rice
82.7,38.14,43.41,29.14,57.43,6.91,156.77,maize
65.16,43.76,65.69,28.58,50.89,7.4,85.35,cotton
33.26,64.62,27.73,26.11,59.34,7.27,39.22,groundnut
55.4,47.43,44.98,23.97,42.1,7.37,88.64,pulses
82.3,62.37,78.52,31.05,82.45,6.72,125.23,banana
55.77,40.74,62.33,31.73,68.17,6.93,133.25,cotton
63.46,55.17,31.12,20.58,67.57,6.32,112.03,maize
43.36,57.81,37.38,21.13,58.96,6.39,71.8,pulses
98.46,50.45,45.65,33.64,73.9,6.62,111.51,sugarcane
106.43,51.34,70.87,33.29,71.36,6.68,306.79,banana
48.66,42.06,47.77,26.62,58.01,6.87,133.51,cotton
55.94,46.53,64.66,19.48,93.34,5.33,197.61,coffee
60.18,50.2,56.13,24.33,50.24,6.85,117.54,cotton
48.74,46.66,51.47,37.43,45.01,6.87,38.0,millets
35.28,30.57,49.61,36.89,32.33,6.49,49.23,millets
34.99,49.37,38.86,20.8,69.68,7.25,57.47,pulses
70.55,49.23,38.67,26.58,83.31,5.9,166.21,rice
25.15,37.6,28.98,27.63,59.13,6.78,35.11,groundnut
65.61,52.74,31.07,23.76,66.84,6.24,45.09,maize
77.91,45.62,39.12,21.31,93.51,6.93,280.21,rice
30.7,41.93,46.96,34.75,49.4,6.27,40.34,groundnut
58.2,40.84,38.35,31.86,38.04,7.0,43.95,millets
115.69,41.0,62.11,27.7,72.48,6.23,163.59,sugarcane
74.14,48.64,27.09,23.71,67.65,6.96,130.01,maize
48.29,59.05,34.74,26.2,61.77,6.99,112.8,pulses
85.13,53.02,48.46,28.6,92.92,6.09,251.78,rice
87.65,37.34,56.59,30.65,88.87,6.91,146.86,sugarcane
67.8,43.85,49.19,27.72,62.27,7.01,88.1,cotton
96.73,63.05,54.41,31.2,85.64,7.21,219.17,sugarcane
65.45,42.32,33.96,23.73,49.42,7.32,78.54,maize
59.72,41.37,48.38,30.73,43.72,6.4,62.6,millets
59.77,28.76,49.71,27.95,44.69,7.58,53.96,millets
56.81,31.75,45.07,33.27,61.95,7.24,76.11,millets
47.6,55.82,41.8,25.64,49.62,6.63,54.24,pulses
79.61,45.85,31.1,24.6,72.58,7.04,103.11,maize
57.8,51.37,50.77,32.78,63.41,6.58,165.88,cotton
83.11,45.85,47.23,32.03,76.8,6.89,217.43,rice
25.54,63.26,52.14,20.68,53.23,6.57,113.91,groundnut
57.97,48.78,62.15,29.13,46.8,6.47,110.27,cotton
55.04,50.7,59.84,31.85,62.48,6.92,158.81,cotton
78.93,47.25,39.42,21.89,78.89,6.45,209.02,rice
102.43,48.4,53.5,29.97,76.55,6.5,155.67,sugarcane
60.93,40.29,94.33,33.72,94.22,6.92,263.69,coconut
81.27,46.0,46.48,23.17,81.9,5.94,245.84,rice
35.54,41.13,31.48,19.82,54.13,7.42,72.12,pulses
73.17,57.1,50.82,24.28,56.35,7.63,63.89,cotton
38.93,42.21,38.85,29.56,57.72,7.5,60.63,pulses
100.31,45.98,48.38,31.54,71.28,7.17,131.44,banana
67.69,49.3,42.31,23.44,92.16,7.12,355.73,rice
46.97,58.56,54.79,27.27,71.69,6.37,151.48,coffee
69.89,40.36,39.68,29.9,81.79,6.12,204.03,rice
84.79,41.24,43.07,32.19,84.97,6.04,266.32,rice
27.06,45.93,35.48,33.16,46.69,7.55,91.12,millets
42.37,38.73,42.19,25.58,63.4,6.91,89.42,pulses
63.86,50.71,46.08,19.89,92.91,6.28,343.75,rice
55.5,31.0,38.1,29.07,36.88,7.66,36.75,millets
78.24,43.16,36.71,25.01,87.29,6.86,263.93,rice
102.29,49.05,67.57,30.46,80.69,6.99,182.35,banana
59.67,39.51,65.79,34.49,53.24,6.47,78.95,cotton
92.57,47.25,57.49,31.55,76.95,7.03,132.83,sugarcane
80.35,37.37,39.21,23.87,91.16,6.34,230.98,rice
35.95,63.54,34.74,26.08,54.61,7.67,113.72,groundnut
58.26,53.82,44.03,32.85,66.31,7.28,50.51,groundnut
52.27,30.11,48.58,21.09,56.52,6.27,93.63,millets
69.36,56.85,61.8,34.11,54.58,7.27,130.42,cotton
53.1,40.25,32.09,36.72,59.76,6.81,61.58,millets
80.78,53.9,50.4,31.05,85.84,6.74,203.48,sugarcane
67.61,50.07,35.59,26.13,52.15,6.7,85.25,maize
62.77,39.4,32.3,20.72,69.97,6.78,53.96,maize
45.69,58.74,43.33,31.07,64.11,6.94,76.12,groundnut
74.43,41.46,63.14,31.6,58.43,7.12,126.52,cotton
39.16,55.65,46.87,31.14,54.83,6.7,81.78,groundnut
76.49,57.29,28.27,21.51,70.16,6.63,161.66,maize
45.51,55.99,53.76,25.5,62.15,7.28,69.39,cotton
66.33,50.24,41.09,27.06,71.82,7.52,84.05,maize
45.43,45.57,32.86,24.2,45.4,7.1,67.37,pulses
46.59,65.12,42.13,24.35,63.36,6.71,95.37,groundnut
68.53,42.74,44.7,21.19,72.45,7.42,149.12,maize
80.09,46.91,38.61,22.39,92.09,6.53,338.46,rice
60.63,56.2,59.77,22.26,68.83,6.81,88.05,cotton
86.21,46.34,46.49,26.9,82.92,5.89,158.22,rice
57.5,55.16,39.72,21.34,49.47,6.56,48.09,maize
79.09,53.98,34.43,21.27,74.18,6.15,131.53,maize
48.78,39.01,49.31,21.32,57.24,7.55,73.77,pulses
60.85,39.65,48.1,34.33,51.17,7.37,95.76,cotton
84.1,44.84,44.22,26.66,76.12,6.21,179.16,rice
47.13,38.71,47.65,26.14,69.25,6.73,93.54,pulses
47.88,45.46,59.67,16.15,84.05,6.55,229.33,coffee
47.59,33.41,53.1,30.2,40.43,7.31,50.73,millets
70.01,42.82,63.31,28.21,50.25,6.6,80.65,cotton
61.24,49.52,37.36,29.9,75.11,6.54,94.17,maize
92.94,56.78,49.99,32.03,65.55,7.47,159.15,sugarcane
75.09,50.09,40.16,31.23,86.56,6.36,197.5,rice
38.55,41.41,25.22,30.52,55.18,6.49,47.15,pulses
35.81,31.84,31.3,25.4,45.05,6.93,38.32,millets
80.33,41.97,35.35,29.35,82.09,6.45,302.76,rice
51.47,28.2,46.7,30.56,45.14,6.44,71.32,millets
106.34,46.95,61.51,34.98,66.64,6.43,165.43,sugarcane
81.91,44.44,41.3,29.7,74.61,6.62,83.14,sugarcane
26.09,38.01,42.9,25.12,46.79,6.5,63.99,pulses
85.72,55.04,33.24,22.68,83.48,6.7,119.06,rice
34.05,41.46,34.74,27.72,71.38,7.72,38.82,pulses
35.49,35.04,38.5,21.44,73.26,7.18,120.89,pulses
63.26,55.98,59.73,37.53,51.07,7.12,73.33,cotton
30.56,55.98,43.74,26.25,68.33,6.85,58.74,pulses
78.91,41.3,38.24,27.71,75.36,6.63,146.21,rice
35.13,58.85,27.02,33.52,76.39,7.42,134.77,groundnut
60.65,50.06,35.69,26.0,67.79,6.59,115.8,maize
54.74,46.1,55.72,24.67,49.57,7.18,76.39,cotton
45.58,38.86,38.65,28.04,42.93,6.51,48.82,pulses
33.12,51.03,45.16,20.08,53.29,6.37,46.19,pulses
40.27,45.57,46.9,30.8,49.22,6.3,82.09,millets
37.18,43.13,36.77,32.51,55.87,6.14,68.42,pulses
75.21,49.52,30.07,27.99,73.69,7.17,87.44,maize
60.37,48.99,62.68,35.88,54.77,7.19,87.66,cotton
62.34,51.86,42.36,28.47,70.39,7.04,137.65,maize
82.09,47.39,64.09,27.8,68.94,6.98,195.1,sugarcane
75.03,42.8,45.83,28.59,75.49,6.33,279.97,rice
58.81,42.78,90.03,26.23,96.01,5.86,336.71,coconut
40.12,43.52,39.4,23.97,57.67,7.55,107.06,pulses
52.81,65.61,43.38,29.11,69.51,6.67,83.6,groundnut
48.72,46.22,35.85,25.52,36.13,7.57,56.34,millets
95.98,52.64,62.47,31.47,72.15,6.39,84.32,sugarcane
64.62,31.66,70.9,28.29,72.45,6.61,212.75,coconut
75.12,47.26,37.81,28.64,77.09,6.18,249.7,rice
52.96,47.07,53.07,23.22,83.58,5.92,309.95,coffee
65.18,27.51,51.5,30.48,42.75,6.82,62.57,millets
92.8,52.82,47.68,27.27,72.02,6.29,145.11,sugarcane
79.09,53.47,39.64,28.49,74.14,6.89,183.7,rice
59.7,42.72,63.09,30.54,54.49,6.94,85.76,cotton
83.6,45.04,50.03,31.14,77.48,7.06,185.97,rice
44.31,37.73,30.35,24.42,46.19,7.63,62.8,pulses
72.09,49.83,44.66,22.42,83.28,7.04,275.69,rice
89.45,48.46,41.78,21.5,68.33,7.48,194.45,sugarcane
89.41,55.77,55.19,28.48,69.06,6.93,170.62,sugarcane
69.3,44.41,43.28,28.52,55.83,7.19,152.2,maize
85.34,45.25,57.66,31.78,75.83,7.06,247.57,sugarcane
56.0,57.3,40.82,30.57,43.49,7.71,42.08,cotton
97.19,48.62,60.18,34.95,63.06,6.67,124.67,sugarcane
66.05,49.68,45.48,25.86,62.33,6.59,89.93,cotton
52.01,48.78,61.13,27.97,53.39,6.83,59.54,cotton
42.79,53.99,68.33,33.19,60.95,7.34,87.82,cotton
60.89,51.94,41.22,22.69,66.17,6.3,136.97,maize
76.29,41.74,37.46,30.0,89.94,6.11,180.97,rice
51.62,61.97,46.52,32.63,54.83,6.9,76.16,groundnut
55.76,52.1,30.14,26.27,72.64,7.58,92.39,maize
69.39,45.67,38.97,26.89,78.6,6.32,199.88,rice
51.8,39.04,39.99,27.61,37.92,7.61,64.5,millets
38.16,47.2,47.58,18.3,61.14,7.83,55.43,pulses
69.25,51.24,60.05,33.95,56.4,7.21,70.78,cotton
74.97,41.23,27.47,29.48,69.15,6.21,159.83,maize
79.43,46.17,45.04,22.19,71.51,7.16,120.27,sugarcane
24.92,41.28,39.75,29.56,55.62,7.88,34.03,pulses
61.75,42.95,44.56,19.87,50.82,6.71,79.91,maize
68.69,49.39,44.38,28.26,89.74,6.88,291.57,rice
78.81,50.32,36.59,26.92,75.31,5.9,249.24,rice
62.73,52.61,92.09,33.43,69.32,5.86,137.29,coconut
60.37,47.07,46.58,29.19,45.35,6.46,58.94,millets
37.11,30.61,33.38,22.69,48.37,7.58,50.49,millets
57.92,53.34,43.96,32.09,65.51,6.9,96.57,maize
96.16,47.08,43.94,28.72,81.28,6.17,279.39,rice
70.59,54.86,44.23,29.15,92.56,5.9,310.92,rice
87.35,50.33,35.25,31.5,78.33,6.8,205.23,rice
33.76,53.54,44.77,22.22,69.74,6.6,110.55,pulses
92.31,50.66,49.65,24.73,79.03,6.68,297.23,rice
80.68,51.99,28.38,22.78,66.93,7.24,85.02,maize
47.09,45.53,44.58,33.39,70.5,7.67,122.06,cotton
65.46,43.08,41.64,32.19,65.55,6.78,103.69,maize
31.16,56.16,38.89,22.22,67.49,7.3,81.19,pulses
42.83,40.29,31.03,35.23,55.65,6.8,94.22,millets
39.1,34.82,34.49,21.15,44.88,7.1,49.39,millets
51.53,35.15,26.15,28.91,56.21,7.45,141.89,pulses
45.54,50.19,42.83,22.22,54.71,7.09,46.58,pulses
57.27,43.46,36.29,21.28,49.74,7.39,116.41,pulses
91.09,42.82,42.81,27.26,89.95,6.0,213.93,rice
40.44,51.05,53.56,35.46,66.23,7.66,142.07,cotton
71.2,40.54,49.15,33.26,60.86,7.42,72.64,cotton
57.44,53.29,51.95,28.24,66.08,7.32,71.22,cotton
39.92,38.2,33.31,19.36,42.77,6.42,29.97,pulses
45.21,40.86,50.33,28.97,65.08,6.49,56.95,millets
35.12,26.27,40.9,36.23,39.97,6.77,37.91,millets
40.97,53.26,37.13,25.73,59.24,6.42,130.4,groundnut
40.05,52.31,32.03,21.17,56.22,6.61,68.59,pulses
39.51,41.85,33.85,32.75,59.18,6.78,82.99,millets
74.78,48.66,41.29,22.42,88.84,6.93,219.02,rice
77.26,57.75,37.96,25.19,75.9,7.08,99.13,maize
64.5,40.71,29.85,18.28,60.47,6.82,124.45,maize
71.47,56.35,46.65,32.31,66.42,6.65,138.52,maize
77.54,51.58,54.66,27.72,89.21,6.35,266.04,rice
52.39,47.46,40.98,30.03,45.4,6.8,104.42,pulses
70.26,55.96,41.37,22.26,88.97,6.65,278.62,rice
89.49,57.67,47.42,24.85,78.62,6.56,251.2,banana
47.42,57.6,41.37,29.0,74.33,7.24,88.99,groundnut
89.79,56.86,43.55,23.03,78.39,7.22,110.31,sugarcane
63.17,50.54,98.02,22.7,94.34,6.16,293.9,coconut
60.75,32.87,52.01,28.68,54.17,6.3,45.6,millets
69.82,45.2,56.95,25.67,68.88,6.85,74.69,cotton
65.21,53.09,40.85,23.69,66.96,6.77,91.8,maize
89.43,51.22,38.38,28.54,79.12,6.59,182.71,rice
87.51,40.48,45.32,30.78,85.92,6.05,231.75,rice
71.9,45.47,42.13,21.8,88.36,6.12,202.14,rice
70.13,40.52,42.64,20.21,73.47,6.35,62.79,maize
56.69,40.24,37.8,32.53,49.03,6.27,84.36,millets
91.73,45.76,45.69,25.17,89.01,6.49,293.27,rice
74.32,50.87,57.07,34.63,51.61,7.25,89.58,cotton
89.82,46.43,48.83,24.57,74.35,6.32,167.37,rice
44.55,62.29,47.37,32.64,63.41,7.46,54.11,groundnut
46.26,45.91,39.17,25.32,53.95,7.37,32.35,pulses
49.78,46.93,41.66,21.74,63.19,7.45,49.67,pulses
60.44,43.52,35.82,20.28,62.85,7.39,74.94,pulses
69.08,52.87,38.57,19.89,70.79,7.03,115.06,maize
85.21,52.5,44.95,24.69,79.62,6.45,176.63,rice
75.35,50.33,42.15,21.86,79.38,6.1,303.63,rice
92.8,39.53,52.28,31.13,72.69,6.77,167.57,sugarcane
40.45,41.09,30.76,31.47,71.49,7.56,80.88,groundnut
32.19,57.99,42.07,20.19,48.74,7.38,93.21,pulses
73.81,52.57,49.09,25.61,51.85,7.46,68.79,cotton
49.69,43.89,43.09,34.67,33.23,6.21,34.19,millets
52.67,54.93,33.89,18.95,69.57,7.24,61.4,pulses
75.99,38.46,42.52,26.14,74.33,6.4,143.73,sugarcane
50.62,59.01,27.06,25.16,66.05,7.43,88.35,groundnut
41.25,50.27,36.75,25.27,64.96,6.98,73.61,groundnut
62.96,58.04,53.52,34.8,43.74,7.63,45.34,cotton
67.75,48.87,46.26,26.17,49.16,7.09,124.35,cotton
69.93,41.02,46.24,29.41,48.55,6.38,74.41,maize
63.21,59.21,55.23,31.35,64.57,7.09,81.36,cotton
76.18,40.59,41.9,29.96,83.82,6.54,237.03,rice
85.71,47.68,35.96,20.73,80.66,6.58,195.6,rice
48.67,40.33,42.92,28.76,43.84,7.45,47.5,millets
91.7,62.41,52.05,24.52,75.4,6.32,257.14,banana
32.67,67.29,44.35,33.12,52.82,7.24,64.28,groundnut
70.33,46.86,37.56,25.4,75.01,6.11,119.78,rice
63.51,42.16,78.49,26.48,85.88,7.02,309.52,coconut
62.99,43.71,62.72,23.97,65.6,7.64,74.04,cotton
70.63,50.38,36.92,24.05,72.85,6.8,102.66,maize
45.68,42.6,44.15,27.02,47.61,6.63,32.58,millets
75.21,33.82,39.21,28.94,88.89,5.99,173.34,rice
58.52,40.36,68.25,26.05,86.34,6.94,260.66,coconut
75.52,53.12,41.79,17.88,73.59,6.61,88.18,maize
46.61,59.81,68.91,25.23,94.48,6.05,233.21,coffee
32.35,40.78,33.99,32.32,60.75,7.55,86.16,pulses
77.19,51.27,29.19,24.04,47.72,6.52,34.14,maize
